#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    2.0000    0.4980    0.4950    0.0030    1.2275    4.4647    8.0698    5.7197   10.0502    4.3029    0.2450    0.9416    0.0001   -2.2600    0.5000
    2.0000    0.5000    0.4950    0.0050    1.2324    4.4447    8.0700    5.6362   10.0928    4.3009    0.2450    0.9415    0.0001   -2.2600    0.5000
    2.0000    0.5050    0.4950    0.0100    1.2432    4.4093    8.0705    5.4884   10.1689    4.2964    0.2450    0.9413    0.0001   -2.2600    0.5000
    2.0000    0.5100    0.4950    0.0150    1.2534    4.3830    8.0710    5.3770   10.2267    4.2926    0.2450    0.9406    0.0001   -2.2600    0.5000
    2.0000    0.5150    0.4950    0.0200    1.2632    4.3613    8.0713    5.2846   10.2751    4.2891    0.2450    0.9400    0.0001   -2.2600    0.5000
    2.0000    0.5200    0.4950    0.0250    1.2728    4.3424    8.0717    5.2037   10.3177    4.2859    0.2450    0.9398    0.0001   -2.2600    0.5000
    2.0000    0.5300    0.4950    0.0350    1.2921    4.3100    8.0724    5.0627   10.3922    4.2803    0.2450    0.9389    0.0001   -2.2600    0.5000
    2.0000    0.5400    0.4950    0.0450    1.3095    4.2839    8.0729    4.9491   10.4530    4.2756    0.2450    0.9384    0.0001   -2.2600    0.5000
    2.0000    0.5600    0.4950    0.0650    1.3533    4.2356    8.0737    4.7280   10.5716    4.2682    0.2450    0.9375    0.0001   -2.2600    0.5000
    2.0000    0.5800    0.4950    0.0850    1.4070    4.1900    8.0743    4.5074   10.6895    4.2635    0.2450    0.9377    0.0001   -2.2600    0.5000
    2.0000    0.6000    0.4950    0.1050    1.4660    4.1423    8.0746    4.2723   10.8144    4.2612    0.2450    0.9373    0.0001   -2.2600    0.5000
    2.0000    0.6400    0.4950    0.1450    1.5687    4.0416    8.0747    3.7944   11.0673    4.2605    0.2450    0.9373    0.0001   -2.2600    0.5000
    2.0000    0.7200    0.4950    0.2250    1.6883    3.8614    8.0744    3.0054   11.4874    4.2623    0.2450    0.9371    0.0001   -2.2600    0.5000
    2.0000    0.7800    0.4950    0.2850    1.7394    3.7642    8.0742    2.6003   11.7074    4.2635    0.2450    0.9370    0.0001   -2.2600    0.5000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    3.0000    0.4980    0.4950    0.0030    1.2301    4.4647    8.0703    5.7168   10.0516    4.3028    0.2450    0.9286    0.0001   -2.2600    0.5000
    3.0000    0.5000    0.4950    0.0050    1.2349    4.4445    8.0705    5.6331   10.0944    4.3008    0.2450    0.9285    0.0001   -2.2600    0.5000
    3.0000    0.5050    0.4950    0.0100    1.2457    4.4091    8.0711    5.4849   10.1707    4.2963    0.2450    0.9279    0.0001   -2.2600    0.5000
    3.0000    0.5100    0.4950    0.0150    1.2559    4.3826    8.0716    5.3732   10.2286    4.2925    0.2450    0.9271    0.0001   -2.2600    0.5000
    3.0000    0.5150    0.4950    0.0200    1.2657    4.3609    8.0719    5.2805   10.2771    4.2890    0.2450    0.9263    0.0001   -2.2600    0.5000
    3.0000    0.5200    0.4950    0.0250    1.2752    4.3419    8.0724    5.1993   10.3198    4.2859    0.2450    0.9258    0.0001   -2.2600    0.5000
    3.0000    0.5300    0.4950    0.0350    1.2944    4.3094    8.0730    5.0581   10.3945    4.2803    0.2450    0.9245    0.0001   -2.2600    0.5000
    3.0000    0.5400    0.4950    0.0450    1.3121    4.2832    8.0735    4.9439   10.4556    4.2757    0.2450    0.9243    0.0001   -2.2600    0.5000
    3.0000    0.5600    0.4950    0.0650    1.3560    4.2347    8.0744    4.7218   10.5747    4.2684    0.2450    0.9230    0.0001   -2.2600    0.5000
    3.0000    0.5800    0.4950    0.0850    1.4093    4.1890    8.0750    4.5010   10.6926    4.2636    0.2450    0.9220    0.0001   -2.2600    0.5000
    3.0000    0.6000    0.4950    0.1050    1.4674    4.1415    8.0753    4.2677   10.8167    4.2611    0.2450    0.9212    0.0001   -2.2600    0.5000
    3.0000    0.6400    0.4950    0.1450    1.5695    4.0412    8.0754    3.7920   11.0685    4.2602    0.2450    0.9213    0.0001   -2.2600    0.5000
    3.0000    0.7200    0.4950    0.2250    1.6896    3.8602    8.0752    2.9993   11.4905    4.2619    0.2450    0.9213    0.0001   -2.2600    0.5000
    3.0000    0.7800    0.4950    0.2850    1.7408    3.7625    8.0750    2.5921   11.7114    4.2631    0.2450    0.9219    0.0001   -2.2600    0.5000
