-2.26   0.0001   0.245
-1.48   0.0006   0.247
-0.47   0.0060   0.257
 0.00   0.0169   0.288
 0.39   0.0400   0.292
 0.43   0.0400   0.356
 0.58   0.0600   0.289
 0.71   0.0600   0.459
