#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    4.0000    0.4710    0.4690    0.0020    1.0927    4.4105    8.0648    5.6131   10.0914    4.3530    0.2880    0.9094    0.0169    0.0000    0.0000
    4.0000    0.4730    0.4690    0.0040    1.0980    4.3822    8.0650    5.4962   10.1508    4.3507    0.2880    0.9095    0.0169    0.0000    0.0000
    4.0000    0.4750    0.4690    0.0060    1.1034    4.3608    8.0653    5.4071   10.1962    4.3487    0.2880    0.9086    0.0169    0.0000    0.0000
    4.0000    0.4800    0.4690    0.0110    1.1140    4.3199    8.0659    5.2378   10.2832    4.3441    0.2880    0.9081    0.0169    0.0000    0.0000
    4.0000    0.4850    0.4690    0.0160    1.1259    4.2870    8.0663    5.0989   10.3549    4.3401    0.2880    0.9070    0.0169    0.0000    0.0000
    4.0000    0.4900    0.4690    0.0210    1.1403    4.2592    8.0668    4.9774   10.4179    4.3366    0.2880    0.9053    0.0169    0.0000    0.0000
    4.0000    0.4950    0.4690    0.0260    1.1544    4.2331    8.0671    4.8633   10.4771    4.3333    0.2880    0.9052    0.0169    0.0000    0.0000
    4.0000    0.5000    0.4690    0.0310    1.1770    4.2081    8.0675    4.7452   10.5383    4.3307    0.2880    0.9046    0.0169    0.0000    0.0000
    4.0000    0.5100    0.4690    0.0410    1.2611    4.1500    8.0678    4.4379   10.6963    4.3276    0.2880    0.9045    0.0169    0.0000    0.0000
    4.0000    0.5200    0.4690    0.0510    1.3830    4.0600    8.0678    3.9639   10.9376    4.3278    0.2880    0.9042    0.0169    0.0000    0.0000
    4.0000    0.5300    0.4690    0.0610    1.4747    3.9416    8.0677    3.4070   11.2201    4.3290    0.2880    0.9037    0.0169    0.0000    0.0000
    4.0000    0.5400    0.4690    0.0710    1.5296    3.8123    8.0676    2.8428   11.5062    4.3296    0.2880    0.9048    0.0169    0.0000    0.0000
    4.0000    0.5500    0.4690    0.0810    1.5608    3.7201    8.0676    2.4510   11.7062    4.3303    0.2880    0.9042    0.0169    0.0000    0.0000
    4.0000    0.5600    0.4690    0.0910    1.5795    3.6936    8.0676    2.3341   11.7685    4.3301    0.2880    0.9039    0.0169    0.0000    0.0000
    4.0000    0.5800    0.4690    0.1110    1.6021    3.6711    8.0676    2.2367   11.8248    4.3307    0.2880    0.9034    0.0169    0.0000    0.0000
    4.0000    0.6200    0.4690    0.1510    1.6271    3.6538    8.0676    2.1715   11.8719    4.3308    0.2880    0.9037    0.0169    0.0000    0.0000
    4.0000    0.6600    0.4690    0.1910    1.6451    3.6456    8.0676    2.1479   11.8972    4.3310    0.2880    0.9033    0.0169    0.0000    0.0000
    4.0000    0.7000    0.4690    0.2310    1.6588    3.6414    8.0675    2.1428   11.9127    4.3312    0.2880    0.9036    0.0169    0.0000    0.0000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    5.0000    0.4710    0.4690    0.0020    1.0951    4.4103    8.0653    5.6098   10.0931    4.3528    0.2880    0.8983    0.0169    0.0000    0.0000
    5.0000    0.4730    0.4690    0.0040    1.1004    4.3819    8.0655    5.4927   10.1526    4.3506    0.2880    0.8986    0.0169    0.0000    0.0000
    5.0000    0.4750    0.4690    0.0060    1.1057    4.3604    8.0658    5.4033   10.1981    4.3485    0.2880    0.8975    0.0169    0.0000    0.0000
    5.0000    0.4800    0.4690    0.0110    1.1168    4.3194    8.0663    5.2325   10.2858    4.3439    0.2880    0.8971    0.0169    0.0000    0.0000
    5.0000    0.4850    0.4690    0.0160    1.1282    4.2863    8.0668    5.0940   10.3573    4.3399    0.2880    0.8958    0.0169    0.0000    0.0000
    5.0000    0.4900    0.4690    0.0210    1.1429    4.2584    8.0673    4.9716   10.4208    4.3364    0.2880    0.8938    0.0169    0.0000    0.0000
    5.0000    0.4950    0.4690    0.0260    1.1565    4.2322    8.0676    4.8579   10.4798    4.3331    0.2880    0.8938    0.0169    0.0000    0.0000
    5.0000    0.5000    0.4690    0.0310    1.1788    4.2072    8.0680    4.7396   10.5411    4.3305    0.2880    0.8930    0.0169    0.0000    0.0000
    5.0000    0.5100    0.4690    0.0410    1.2634    4.1489    8.0683    4.4311   10.6997    4.3274    0.2880    0.8928    0.0169    0.0000    0.0000
    5.0000    0.5200    0.4690    0.0510    1.3870    4.0581    8.0684    3.9523   10.9434    4.3276    0.2880    0.8927    0.0169    0.0000    0.0000
    5.0000    0.5300    0.4690    0.0610    1.4791    3.9391    8.0683    3.3926   11.2273    4.3286    0.2880    0.8923    0.0169    0.0000    0.0000
    5.0000    0.5400    0.4690    0.0710    1.5340    3.8086    8.0682    2.8236   11.5158    4.3292    0.2880    0.8932    0.0169    0.0000    0.0000
    5.0000    0.5500    0.4690    0.0810    1.5647    3.7186    8.0682    2.4409   11.7113    4.3297    0.2880    0.8925    0.0169    0.0000    0.0000
    5.0000    0.5600    0.4690    0.0910    1.5832    3.6928    8.0682    2.3273   11.7719    4.3295    0.2880    0.8923    0.0169    0.0000    0.0000
    5.0000    0.5800    0.4690    0.1110    1.6054    3.6707    8.0682    2.2320   11.8272    4.3300    0.2880    0.8917    0.0169    0.0000    0.0000
    5.0000    0.6200    0.4690    0.1510    1.6322    3.6527    8.0681    2.1620   11.8767    4.3303    0.2880    0.8920    0.0169    0.0000    0.0000
    5.0000    0.6600    0.4690    0.1910    1.6496    3.6447    8.0682    2.1397   11.9013    4.3304    0.2880    0.8916    0.0169    0.0000    0.0000
    5.0000    0.7000    0.4690    0.2310    1.6636    3.6405    8.0681    2.1343   11.9169    4.3306    0.2880    0.8920    0.0169    0.0000    0.0000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    6.0000    0.4710    0.4690    0.0020    1.0977    4.4101    8.0658    5.6065   10.0947    4.3525    0.2880    0.8885    0.0169    0.0000    0.0000
    6.0000    0.4730    0.4690    0.0040    1.1029    4.3816    8.0660    5.4891   10.1544    4.3502    0.2880    0.8889    0.0169    0.0000    0.0000
    6.0000    0.4750    0.4690    0.0060    1.1082    4.3601    8.0663    5.3994   10.2000    4.3482    0.2880    0.8875    0.0169    0.0000    0.0000
    6.0000    0.4800    0.4690    0.0110    1.1194    4.3188    8.0668    5.2279   10.2881    4.3436    0.2880    0.8869    0.0169    0.0000    0.0000
    6.0000    0.4850    0.4690    0.0160    1.1308    4.2857    8.0673    5.0890   10.3598    4.3396    0.2880    0.8853    0.0169    0.0000    0.0000
    6.0000    0.4900    0.4690    0.0210    1.1453    4.2576    8.0678    4.9661   10.4235    4.3361    0.2880    0.8830    0.0169    0.0000    0.0000
    6.0000    0.4950    0.4690    0.0260    1.1587    4.2313    8.0681    4.8522   10.4826    4.3329    0.2880    0.8830    0.0169    0.0000    0.0000
    6.0000    0.5000    0.4690    0.0310    1.1807    4.2062    8.0686    4.7339   10.5439    4.3302    0.2880    0.8818    0.0169    0.0000    0.0000
    6.0000    0.5100    0.4690    0.0410    1.2650    4.1481    8.0689    4.4259   10.7023    4.3271    0.2880    0.8817    0.0169    0.0000    0.0000
    6.0000    0.5200    0.4690    0.0510    1.3892    4.0573    8.0689    3.9467   10.9462    4.3272    0.2880    0.8816    0.0169    0.0000    0.0000
    6.0000    0.5300    0.4690    0.0610    1.4813    3.9386    8.0688    3.3883   11.2295    4.3280    0.2880    0.8814    0.0169    0.0000    0.0000
    6.0000    0.5400    0.4690    0.0710    1.5357    3.8090    8.0688    2.8235   11.5159    4.3284    0.2880    0.8820    0.0169    0.0000    0.0000
    6.0000    0.5500    0.4690    0.0810    1.5664    3.7187    8.0688    2.4398   11.7118    4.3288    0.2880    0.8812    0.0169    0.0000    0.0000
    6.0000    0.5600    0.4690    0.0910    1.5849    3.6929    8.0688    2.3258   11.7726    4.3287    0.2880    0.8811    0.0169    0.0000    0.0000
    6.0000    0.5800    0.4690    0.1110    1.6070    3.6707    8.0688    2.2304   11.8280    4.3290    0.2880    0.8803    0.0169    0.0000    0.0000
