#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    2.0000    0.4400    0.4340    0.0060    0.8741    4.3478    8.0567    5.5513   10.1075    4.4161    0.4590    0.8939    0.0600    0.7100    0.0000
    2.0000    0.4450    0.4340    0.0110    0.8966    4.3208    8.0574    5.4256   10.1729    4.4095    0.4590    0.8937    0.0600    0.7100    0.0000
    2.0000    0.4550    0.4340    0.0210    1.0569    4.2854    8.0587    5.1335   10.3237    4.4007    0.4590    0.8933    0.0600    0.7100    0.0000
    2.0000    0.4600    0.4340    0.0260    1.3290    4.2530    8.0585    4.7367   10.5245    4.4023    0.4590    0.8934    0.0600    0.7100    0.0000
    2.0000    0.4700    0.4340    0.0360    1.6550    4.0925    8.0609    3.7778   11.0086    4.4089    0.4590    0.8933    0.0600    0.7100    0.0000
    2.0000    0.4800    0.4340    0.0460    1.7628    3.8908    8.0639    2.8724   11.4659    4.4134    0.4590    0.8929    0.0600    0.7100    0.0000
    2.0000    0.5000    0.4340    0.0660    1.8267    3.6457    8.0643    1.8461   11.9879    4.4145    0.4590    0.8928    0.0600    0.7100    0.0000
    2.0000    0.5750    0.4340    0.1410    1.8729    3.5984    8.0593    1.6710   12.1058    4.4091    0.4590    0.8922    0.0600    0.7100    0.0000
    2.0000    0.6000    0.4340    0.1660    1.8783    3.5948    8.0601    1.6701   12.1156    4.4084    0.4590    0.8930    0.0600    0.7100    0.0000
    2.0000    0.6500    0.4340    0.2160    1.8961    3.5906    8.0575    1.6701   12.1329    4.4090    0.4590    0.8937    0.0600    0.7100    0.0000
    2.0000    0.7000    0.4340    0.2660    1.9056    3.5897    8.0574    1.6891   12.1395    4.4090    0.4590    0.8937    0.0600    0.7100    0.0000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    3.0000    0.4400    0.4340    0.0060    0.8754    4.3476    8.0570    5.5493   10.1085    4.4162    0.4590    0.8861    0.0600    0.7100    0.0000
    3.0000    0.4450    0.4340    0.0110    0.8972    4.3205    8.0577    5.4237   10.1738    4.4097    0.4590    0.8856    0.0600    0.7100    0.0000
    3.0000    0.4500    0.4340    0.0160    0.9380    4.3010    8.0579    5.3101   10.2330    4.4050    0.4590    0.8936    0.0600    0.7100    0.0000
    3.0000    0.4550    0.4340    0.0210    1.0590    4.2855    8.0590    5.1315   10.3247    4.4008    0.4590    0.8848    0.0600    0.7100    0.0000
    3.0000    0.4600    0.4340    0.0260    1.3359    4.2540    8.0589    4.7339   10.5258    4.4022    0.4590    0.8851    0.0600    0.7100    0.0000
    3.0000    0.4700    0.4340    0.0360    1.6438    4.1069    8.0610    3.8464   10.9743    4.4067    0.4590    0.8848    0.0600    0.7100    0.0000
    3.0000    0.4800    0.4340    0.0460    1.7553    3.9172    8.0638    2.9856   11.4093    4.4100    0.4590    0.8840    0.0600    0.7100    0.0000
    3.0000    0.4900    0.4340    0.0560    1.8079    3.7007    8.0672    2.0759   11.8686    4.4192    0.4590    0.8931    0.0600    0.7100    0.0000
    3.0000    0.5000    0.4340    0.0660    1.8263    3.6522    8.0638    1.8724   11.9747    4.4103    0.4590    0.8837    0.0600    0.7100    0.0000
    3.0000    0.5100    0.4340    0.0760    1.8371    3.6277    8.0610    1.7721   12.0292    4.4094    0.4590    0.8929    0.0600    0.7100    0.0000
    3.0000    0.5200    0.4340    0.0860    1.8453    3.6190    8.0609    1.7370   12.0509    4.4096    0.4590    0.8930    0.0600    0.7100    0.0000
    3.0000    0.5400    0.4340    0.1060    1.8557    3.6084    8.0606    1.7008   12.0772    4.4090    0.4590    0.8930    0.0600    0.7100    0.0000
    3.0000    0.5500    0.4340    0.1160    1.8623    3.6049    8.0593    1.6883   12.0875    4.4087    0.4590    0.8931    0.0600    0.7100    0.0000
    3.0000    0.5750    0.4340    0.1410    1.8737    3.5991    8.0600    1.6731   12.1047    4.4058    0.4590    0.8824    0.0600    0.7100    0.0000
    3.0000    0.6000    0.4340    0.1660    1.8804    3.5953    8.0606    1.6697   12.1157    4.4052    0.4590    0.8842    0.0600    0.7100    0.0000
    3.0000    0.6500    0.4340    0.2160    1.8982    3.5908    8.0582    1.6688   12.1335    4.4057    0.4590    0.8858    0.0600    0.7100    0.0000
    3.0000    0.7000    0.4340    0.2660    1.9079    3.5898    8.0582    1.6873   12.1404    4.4056    0.4590    0.8856    0.0600    0.7100    0.0000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    4.0000    0.4400    0.4340    0.0060    0.8768    4.3474    8.0574    5.5472   10.1096    4.4163    0.4590    0.8782    0.0600    0.7100    0.0000
    4.0000    0.4450    0.4340    0.0110    0.8978    4.3201    8.0580    5.4217   10.1748    4.4098    0.4590    0.8774    0.0600    0.7100    0.0000
    4.0000    0.4500    0.4340    0.0160    0.9377    4.3007    8.0582    5.3090   10.2336    4.4050    0.4590    0.8853    0.0600    0.7100    0.0000
    4.0000    0.4550    0.4340    0.0210    1.0611    4.2855    8.0593    5.1296   10.3257    4.4010    0.4590    0.8764    0.0600    0.7100    0.0000
    4.0000    0.4600    0.4340    0.0260    1.3427    4.2551    8.0592    4.7312   10.5272    4.4021    0.4590    0.8768    0.0600    0.7100    0.0000
