#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    2.0000    0.4880    0.4850    0.0030    1.1860    4.4469    8.0678    5.6809   10.0653    4.3200    0.2470    0.9434    0.0006   -1.4800    0.6000
    2.0000    0.4900    0.4850    0.0050    1.1904    4.4312    8.0679    5.6157   10.0987    4.3184    0.2470    0.9427    0.0006   -1.4800    0.6000
    2.0000    0.4950    0.4850    0.0100    1.2023    4.3942    8.0686    5.4601   10.1787    4.3138    0.2470    0.9416    0.0006   -1.4800    0.6000
    2.0000    0.5000    0.4850    0.0150    1.2149    4.3668    8.0691    5.3426   10.2397    4.3097    0.2470    0.9410    0.0006   -1.4800    0.6000
    2.0000    0.5050    0.4850    0.0200    1.2224    4.3437    8.0693    5.2465   10.2899    4.3062    0.2470    0.9409    0.0006   -1.4800    0.6000
    2.0000    0.5100    0.4850    0.0250    1.2324    4.3236    8.0697    5.1607   10.3349    4.3030    0.2470    0.9406    0.0006   -1.4800    0.6000
    2.0000    0.5200    0.4850    0.0350    1.2551    4.2875    8.0704    5.0018   10.4185    4.2971    0.2470    0.9398    0.0006   -1.4800    0.6000
    2.0000    0.5300    0.4850    0.0450    1.2807    4.2585    8.0710    4.8685   10.4893    4.2926    0.2470    0.9391    0.0006   -1.4800    0.6000
    2.0000    0.5400    0.4850    0.0550    1.3121    4.2296    8.0715    4.7296   10.5628    4.2887    0.2470    0.9389    0.0006   -1.4800    0.6000
    2.0000    0.5600    0.4850    0.0750    1.4213    4.1582    8.0718    4.3507   10.7602    4.2864    0.2470    0.9386    0.0006   -1.4800    0.6000
    2.0000    0.5900    0.4850    0.1050    1.5694    4.0133    8.0715    3.6456   11.1240    4.2885    0.2470    0.9389    0.0006   -1.4800    0.6000
    2.0000    0.6100    0.4850    0.1250    1.6265    3.9117    8.0714    3.1966   11.3558    4.2894    0.2470    0.9386    0.0006   -1.4800    0.6000
    2.0000    0.6300    0.4850    0.1450    1.6638    3.8125    8.0713    2.7766   11.5728    4.2903    0.2470    0.9386    0.0006   -1.4800    0.6000
    2.0000    0.6500    0.4850    0.1650    1.6895    3.7462    8.0712    2.4990   11.7184    4.2909    0.2470    0.9384    0.0006   -1.4800    0.6000
    2.0000    0.7000    0.4850    0.2150    1.7279    3.7176    8.0711    2.3787   11.7946    4.2917    0.2470    0.9383    0.0006   -1.4800    0.6000
    2.0000    0.7800    0.4850    0.2950    1.7635    3.7065    8.0710    2.3457   11.8347    4.2925    0.2470    0.9383    0.0006   -1.4800    0.6000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    3.0000    0.4880    0.4850    0.0030    1.1885    4.4468    8.0683    5.6780   10.0668    4.3199    0.2470    0.9312    0.0006   -1.4800    0.6000
    3.0000    0.4900    0.4850    0.0050    1.1928    4.4311    8.0685    5.6126   10.1002    4.3184    0.2470    0.9304    0.0006   -1.4800    0.6000
    3.0000    0.4950    0.4850    0.0100    1.2046    4.3939    8.0691    5.4567   10.1805    4.3137    0.2470    0.9290    0.0006   -1.4800    0.6000
    3.0000    0.5000    0.4850    0.0150    1.2171    4.3665    8.0696    5.3389   10.2415    4.3096    0.2470    0.9279    0.0006   -1.4800    0.6000
    3.0000    0.5050    0.4850    0.0200    1.2248    4.3432    8.0699    5.2423   10.2920    4.3062    0.2470    0.9278    0.0006   -1.4800    0.6000
    3.0000    0.5100    0.4850    0.0250    1.2348    4.3231    8.0703    5.1562   10.3371    4.3029    0.2470    0.9273    0.0006   -1.4800    0.6000
    3.0000    0.5200    0.4850    0.0350    1.2573    4.2869    8.0710    4.9971   10.4209    4.2971    0.2470    0.9262    0.0006   -1.4800    0.6000
    3.0000    0.5300    0.4850    0.0450    1.2830    4.2578    8.0716    4.8632   10.4920    4.2925    0.2470    0.9252    0.0006   -1.4800    0.6000
    3.0000    0.5400    0.4850    0.0550    1.3167    4.2284    8.0721    4.7202   10.5675    4.2889    0.2470    0.9246    0.0006   -1.4800    0.6000
    3.0000    0.5600    0.4850    0.0750    1.4275    4.1559    8.0723    4.3354   10.7679    4.2865    0.2470    0.9240    0.0006   -1.4800    0.6000
    3.0000    0.5900    0.4850    0.1050    1.5734    4.0109    8.0721    3.6320   11.1308    4.2883    0.2470    0.9245    0.0006   -1.4800    0.6000
    3.0000    0.6100    0.4850    0.1250    1.6302    3.9087    8.0720    3.1807   11.3638    4.2891    0.2470    0.9241    0.0006   -1.4800    0.6000
    3.0000    0.6300    0.4850    0.1450    1.6674    3.8086    8.0720    2.7573   11.5825    4.2899    0.2470    0.9240    0.0006   -1.4800    0.6000
    3.0000    0.6500    0.4850    0.1650    1.6931    3.7447    8.0719    2.4892   11.7233    4.2905    0.2470    0.9243    0.0006   -1.4800    0.6000
    3.0000    0.7000    0.4850    0.2150    1.7314    3.7169    8.0717    2.3723   11.7978    4.2912    0.2470    0.9241    0.0006   -1.4800    0.6000
    3.0000    0.7800    0.4850    0.2950    1.7670    3.7061    8.0717    2.3404   11.8373    4.2920    0.2470    0.9240    0.0006   -1.4800    0.6000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    4.0000    0.4880    0.4850    0.0030    1.1910    4.4467    8.0689    5.6750   10.0682    4.3199    0.2470    0.9189    0.0006   -1.4800    0.6000
    4.0000    0.4900    0.4850    0.0050    1.1953    4.4309    8.0690    5.6095   10.1018    4.3183    0.2470    0.9181    0.0006   -1.4800    0.6000
    4.0000    0.4950    0.4850    0.0100    1.2070    4.3937    8.0696    5.4532   10.1822    4.3136    0.2470    0.9163    0.0006   -1.4800    0.6000
    4.0000    0.5000    0.4850    0.0150    1.2193    4.3661    8.0702    5.3352   10.2434    4.3095    0.2470    0.9149    0.0006   -1.4800    0.6000
    4.0000    0.5050    0.4850    0.0200    1.2272    4.3428    8.0705    5.2382   10.2940    4.3061    0.2470    0.9148    0.0006   -1.4800    0.6000
    4.0000    0.5100    0.4850    0.0250    1.2372    4.3226    8.0710    5.1517   10.3393    4.3029    0.2470    0.9141    0.0006   -1.4800    0.6000
    4.0000    0.5200    0.4850    0.0350    1.2594    4.2862    8.0716    4.9923   10.4233    4.2970    0.2470    0.9126    0.0006   -1.4800    0.6000
    4.0000    0.5300    0.4850    0.0450    1.2853    4.2570    8.0722    4.8579   10.4946    4.2924    0.2470    0.9113    0.0006   -1.4800    0.6000
    4.0000    0.5400    0.4850    0.0550    1.3213    4.2272    8.0727    4.7109   10.5722    4.2891    0.2470    0.9104    0.0006   -1.4800    0.6000
    4.0000    0.5600    0.4850    0.0750    1.4338    4.1537    8.0729    4.3200   10.7756    4.2865    0.2470    0.9095    0.0006   -1.4800    0.6000
    4.0000    0.5900    0.4850    0.1050    1.5773    4.0085    8.0728    3.6184   11.1376    4.2881    0.2470    0.9101    0.0006   -1.4800    0.6000
    4.0000    0.6100    0.4850    0.1250    1.6340    3.9057    8.0727    3.1647   11.3717    4.2887    0.2470    0.9095    0.0006   -1.4800    0.6000
    4.0000    0.6300    0.4850    0.1450    1.6711    3.8047    8.0727    2.7379   11.5922    4.2895    0.2470    0.9094    0.0006   -1.4800    0.6000
    4.0000    0.6500    0.4850    0.1650    1.6966    3.7431    8.0725    2.4794   11.7282    4.2901    0.2470    0.9102    0.0006   -1.4800    0.6000
    4.0000    0.7000    0.4850    0.2150    1.7349    3.7162    8.0724    2.3660   11.8010    4.2907    0.2470    0.9098    0.0006   -1.4800    0.6000
    4.0000    0.7800    0.4850    0.2950    1.7704    3.7057    8.0724    2.3352   11.8399    4.2914    0.2470    0.9097    0.0006   -1.4800    0.6000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    5.0000    0.4880    0.4850    0.0030    1.1935    4.4466    8.0694    5.6721   10.0697    4.3198    0.2470    0.9066    0.0006   -1.4800    0.6000
    5.0000    0.4900    0.4850    0.0050    1.1978    4.4308    8.0695    5.6064   10.1033    4.3183    0.2470    0.9057    0.0006   -1.4800    0.6000
    5.0000    0.4950    0.4850    0.0100    1.2093    4.3934    8.0701    5.4498   10.1839    4.3135    0.2470    0.9037    0.0006   -1.4800    0.6000
    5.0000    0.5000    0.4850    0.0150    1.2216    4.3658    8.0707    5.3315   10.2452    4.3094    0.2470    0.9019    0.0006   -1.4800    0.6000
    5.0000    0.5050    0.4850    0.0200    1.2296    4.3424    8.0711    5.2340   10.2961    4.3060    0.2470    0.9017    0.0006   -1.4800    0.6000
    5.0000    0.5100    0.4850    0.0250    1.2397    4.3221    8.0716    5.1472   10.3416    4.3028    0.2470    0.9008    0.0006   -1.4800    0.6000
    5.0000    0.5200    0.4850    0.0350    1.2616    4.2856    8.0722    4.9875   10.4257    4.2970    0.2470    0.8991    0.0006   -1.4800    0.6000
    5.0000    0.5300    0.4850    0.0450    1.2875    4.2563    8.0728    4.8526   10.4973    4.2923    0.2470    0.8977    0.0006   -1.4800    0.6000
    5.0000    0.5400    0.4850    0.0550    1.3252    4.2262    8.0733    4.7026   10.5764    4.2891    0.2470    0.8966    0.0006   -1.4800    0.6000
    5.0000    0.5600    0.4850    0.0750    1.4381    4.1521    8.0735    4.3093   10.7810    4.2864    0.2470    0.8956    0.0006   -1.4800    0.6000
    5.0000    0.5900    0.4850    0.1050    1.5804    4.0068    8.0734    3.6086   11.1426    4.2878    0.2470    0.8963    0.0006   -1.4800    0.6000
    5.0000    0.6100    0.4850    0.1250    1.6369    3.9036    8.0733    3.1536   11.3773    4.2882    0.2470    0.8956    0.0006   -1.4800    0.6000
    5.0000    0.6300    0.4850    0.1450    1.6740    3.8020    8.0733    2.7240   11.5991    4.2889    0.2470    0.8955    0.0006   -1.4800    0.6000
    5.0000    0.6500    0.4850    0.1650    1.6997    3.7419    8.0732    2.4715   11.7321    4.2895    0.2470    0.8964    0.0006   -1.4800    0.6000
    5.0000    0.7000    0.4850    0.2150    1.7379    3.7156    8.0731    2.3607   11.8036    4.2901    0.2470    0.8961    0.0006   -1.4800    0.6000
    5.0000    0.7800    0.4850    0.2950    1.7735    3.7053    8.0731    2.3307   11.8421    4.2906    0.2470    0.8959    0.0006   -1.4800    0.6000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    6.0000    0.4880    0.4850    0.0030    1.1960    4.4464    8.0699    5.6692   10.0711    4.3195    0.2470    0.8951    0.0006   -1.4800    0.6000
    6.0000    0.4900    0.4850    0.0050    1.2002    4.4306    8.0701    5.6034   10.1048    4.3181    0.2470    0.8941    0.0006   -1.4800    0.6000
    6.0000    0.4950    0.4850    0.0100    1.2117    4.3931    8.0707    5.4463   10.1856    4.3132    0.2470    0.8921    0.0006   -1.4800    0.6000
    6.0000    0.5000    0.4850    0.0150    1.2239    4.3654    8.0712    5.3277   10.2471    4.3091    0.2470    0.8904    0.0006   -1.4800    0.6000
    6.0000    0.5050    0.4850    0.0200    1.2320    4.3419    8.0717    5.2299   10.2982    4.3057    0.2470    0.8901    0.0006   -1.4800    0.6000
    6.0000    0.5100    0.4850    0.0250    1.2420    4.3216    8.0721    5.1428   10.3438    4.3025    0.2470    0.8891    0.0006   -1.4800    0.6000
    6.0000    0.5200    0.4850    0.0350    1.2639    4.2849    8.0728    4.9828   10.4281    4.2966    0.2470    0.8873    0.0006   -1.4800    0.6000
    6.0000    0.5300    0.4850    0.0450    1.2898    4.2555    8.0734    4.8473   10.4999    4.2920    0.2470    0.8854    0.0006   -1.4800    0.6000
    6.0000    0.5400    0.4850    0.0550    1.3274    4.2254    8.0739    4.6971   10.5791    4.2887    0.2470    0.8841    0.0006   -1.4800    0.6000
    6.0000    0.5600    0.4850    0.0750    1.4389    4.1517    8.0741    4.3070   10.7821    4.2859    0.2470    0.8830    0.0006   -1.4800    0.6000
    6.0000    0.5900    0.4850    0.1050    1.5815    4.0068    8.0740    3.6074   11.1431    4.2870    0.2470    0.8838    0.0006   -1.4800    0.6000
    6.0000    0.6100    0.4850    0.1250    1.6384    3.9034    8.0740    3.1511   11.3785    4.2875    0.2470    0.8829    0.0006   -1.4800    0.6000
    6.0000    0.6300    0.4850    0.1450    1.6758    3.8014    8.0740    2.7199   11.6012    4.2881    0.2470    0.8828    0.0006   -1.4800    0.6000
    6.0000    0.6500    0.4850    0.1650    1.7016    3.7416    8.0739    2.4684   11.7337    4.2885    0.2470    0.8834    0.0006   -1.4800    0.6000
    6.0000    0.7000    0.4850    0.2150    1.7399    3.7154    8.0738    2.3579   11.8051    4.2890    0.2470    0.8835    0.0006   -1.4800    0.6000
    6.0000    0.7800    0.4850    0.2950    1.7756    3.7052    8.0738    2.3280   11.8435    4.2895    0.2470    0.8833    0.0006   -1.4800    0.6000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    7.0000    0.4880    0.4850    0.0030    1.1984    4.4463    8.0704    5.6663   10.0726    4.3191    0.2470    0.8845    0.0006   -1.4800    0.6000
    7.0000    0.4900    0.4850    0.0050    1.2026    4.4305    8.0706    5.6003   10.1064    4.3177    0.2470    0.8831    0.0006   -1.4800    0.6000
