#   age       Mc        Msh       logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    2.0000    0.5600    0.4757    1.5566    3.8740    8.0686    3.0787   11.3962    4.3131    0.2570    0.9362    0.0060   -0.4700    0.2300
    2.0000    0.6000    0.4757    1.6340    3.6979    8.0684    2.3269   11.7871    4.3145    0.2570    0.9353    0.0060   -0.4700    0.2300
    2.0000    0.6600    0.4757    1.6718    3.6743    8.0683    2.2358   11.8533    4.3153    0.2570    0.9355    0.0060   -0.4700    0.2300
    2.0000    0.7000    0.4757    1.6875    3.6680    8.0682    2.2204   11.8738    4.3157    0.2570    0.9356    0.0060   -0.4700    0.2300
    2.0000    0.7800    0.4759    1.7111    3.6624    8.0681    2.2213   11.8969    4.3162    0.2570    0.9357    0.0060   -0.4700    0.2300
    2.0000    0.9000    0.4760    1.7372    3.6601    8.0681    2.2482   11.9144    4.3168    0.2570    0.9358    0.0060   -0.4700    0.2300
    2.0000    0.4710    0.4689    1.0880    4.4109    8.0638    5.6196   10.0882    4.3534    0.2880    0.9320    0.0169    0.0000    0.0000
    2.0000    0.4730    0.4698    1.0933    4.3828    8.0640    5.5033   10.1473    4.3511    0.2880    0.9318    0.0169    0.0000    0.0000
    2.0000    0.4750    0.4706    1.0987    4.3614    8.0643    5.4147   10.1925    4.3491    0.2880    0.9316    0.0169    0.0000    0.0000
    2.0000    0.4800    0.4693    1.1080    4.3212    8.0652    5.2488   10.2777    4.3444    0.2880    0.9306    0.0169    0.0000    0.0000
    2.0000    0.4850    0.4690    1.1216    4.2884    8.0652    5.1084   10.3501    4.3402    0.2880    0.9306    0.0169    0.0000    0.0000
    2.0000    0.4900    0.4689    1.1345    4.2608    8.0658    4.9897   10.4117    4.3364    0.2880    0.9300    0.0169    0.0000    0.0000
    2.0000    0.4950    0.4690    1.1507    4.2348    8.0660    4.8740   10.4718    4.3335    0.2880    0.9298    0.0169    0.0000    0.0000
    2.0000    0.5000    0.4690    1.1735    4.2099    8.0663    4.7560   10.5330    4.3308    0.2880    0.9296    0.0169    0.0000    0.0000
    2.0000    0.5100    0.4689    1.2542    4.1530    8.0668    4.4566   10.6870    4.3273    0.2880    0.9295    0.0169    0.0000    0.0000
    2.0000    0.5200    0.4689    1.3676    4.0678    8.0668    4.0103   10.9143    4.3275    0.2880    0.9290    0.0169    0.0000    0.0000
    2.0000    0.5300    0.4690    1.4556    3.9560    8.0666    3.4834   11.1819    4.3290    0.2880    0.9290    0.0169    0.0000    0.0000
    2.0000    0.5400    0.4690    1.5123    3.8322    8.0668    2.9398   11.4578    4.3295    0.2880    0.9289    0.0169    0.0000    0.0000
    2.0000    0.5500    0.4694    1.5439    3.7298    8.0666    2.5067   11.6783    4.3303    0.2880    0.9292    0.0169    0.0000    0.0000
    2.0000    0.5600    0.4690    1.5638    3.6991    8.0665    2.3716   11.7497    4.3302    0.2880    0.9287    0.0169    0.0000    0.0000
    2.0000    0.5800    0.4695    1.5868    3.6737    8.0665    2.2622   11.8121    4.3310    0.2880    0.9283    0.0169    0.0000    0.0000
    2.0000    0.6200    0.4706    1.5996    3.6611    8.0666    2.2282   11.8435    4.3293    0.2880    0.9281    0.0169    0.0000    0.0000
