#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    9.7000    0.6744    0.4340    0.2404    0.9744    1.8991    3.5900    8.0569    1.6805   12.1356    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6754    0.4340    0.2414    0.9754    1.8993    3.5900    8.0569    1.6809   12.1357    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6764    0.4340    0.2424    0.9764    1.8994    3.5900    8.0569    1.6813   12.1358    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6774    0.4340    0.2434    0.9774    1.8996    3.5900    8.0569    1.6817   12.1359    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6783    0.4340    0.2443    0.9783    1.8998    3.5900    8.0569    1.6820   12.1361    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6793    0.4340    0.2453    0.9793    1.9000    3.5899    8.0569    1.6824   12.1362    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6803    0.4340    0.2463    0.9803    1.9002    3.5899    8.0569    1.6828   12.1363    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6813    0.4340    0.2473    0.9813    1.9004    3.5899    8.0569    1.6832   12.1364    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6823    0.4340    0.2483    0.9823    1.9006    3.5899    8.0569    1.6836   12.1366    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6832    0.4340    0.2492    0.9832    1.9007    3.5899    8.0569    1.6839   12.1367    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6842    0.4340    0.2502    0.9842    1.9009    3.5899    8.0569    1.6843   12.1368    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6852    0.4340    0.2512    0.9852    1.9011    3.5898    8.0569    1.6847   12.1369    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6862    0.4340    0.2522    0.9862    1.9013    3.5898    8.0569    1.6851   12.1371    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6872    0.4340    0.2532    0.9872    1.9015    3.5898    8.0569    1.6855   12.1372    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6881    0.4340    0.2541    0.9881    1.9017    3.5898    8.0569    1.6858   12.1373    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6891    0.4340    0.2551    0.9891    1.9018    3.5898    8.0569    1.6862   12.1374    4.4115    0.4590    0.8997    0.0600    0.7100    0.0000
    9.7000    0.6901    0.4340    0.2561    0.9901    1.9059    3.5900    8.0582    1.6837   12.1390    4.4058    0.4590    0.8860    0.0600    0.7100    0.0000
