#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    9.9000    0.6607    0.4690    0.1917    0.9607    2.6854    3.5310    8.0993    0.6494   12.6468    5.8379    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6617    0.4690    0.1927    0.9617    2.6905    3.5304    8.0988    0.6425   12.6505    5.8404    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6626    0.4690    0.1936    0.9626    2.6956    3.5298    8.0983    0.6356   12.6543    5.8429    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6636    0.4690    0.1946    0.9636    2.7007    3.5292    8.0978    0.6287   12.6580    5.8455    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6646    0.4690    0.1956    0.9646    2.7058    3.5286    8.0973    0.6219   12.6618    5.8480    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6656    0.4690    0.1966    0.9656    2.7109    3.5280    8.0968    0.6150   12.6655    5.8505    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6666    0.4690    0.1976    0.9666    2.7160    3.5274    8.0962    0.6081   12.6693    5.8530    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6675    0.4690    0.1985    0.9675    2.7211    3.5268    8.0957    0.6012   12.6730    5.8555    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6685    0.4690    0.1995    0.9685    2.7262    3.5262    8.0952    0.5944   12.6768    5.8581    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6695    0.4690    0.2005    0.9695    2.7313    3.5256    8.0947    0.5875   12.6805    5.8606    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6705    0.4690    0.2015    0.9705    2.7364    3.5250    8.0942    0.5806   12.6843    5.8631    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6715    0.4690    0.2025    0.9715    2.7415    3.5244    8.0937    0.5737   12.6880    5.8656    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6725    0.4690    0.2035    0.9725    2.7465    3.5238    8.0932    0.5668   12.6918    5.8682    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6734    0.4690    0.2044    0.9734    2.7516    3.5232    8.0926    0.5600   12.6955    5.8707    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6744    0.4690    0.2054    0.9744    2.7567    3.5226    8.0921    0.5531   12.6993    5.8732    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6754    0.4690    0.2064    0.9754    2.7618    3.5220    8.0916    0.5462   12.7030    5.8757    0.2880    0.0000    0.0169    0.0000    0.0000
    9.9000    0.6764    0.4690    0.2074    0.9764    2.7669    3.5214    8.0911    0.5393   12.7068    5.8782    0.2880    0.0000    0.0169    0.0000    0.0000
