#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    9.8500    0.6685    0.4640    0.2045    0.9685    1.5556    3.6245    8.0645    2.1571   11.8949    4.3433    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6695    0.4640    0.2055    0.9695    1.5560    3.6243    8.0645    2.1568   11.8954    4.3433    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6705    0.4640    0.2065    0.9705    1.5564    3.6241    8.0645    2.1564   11.8959    4.3433    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6715    0.4640    0.2075    0.9715    1.5568    3.6240    8.0645    2.1560   11.8964    4.3433    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6725    0.4640    0.2085    0.9725    1.5572    3.6238    8.0644    2.1556   11.8969    4.3433    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6734    0.4640    0.2094    0.9734    1.5575    3.6237    8.0644    2.1552   11.8975    4.3433    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6744    0.4640    0.2104    0.9744    1.5579    3.6235    8.0644    2.1549   11.8980    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6754    0.4640    0.2114    0.9754    1.5583    3.6234    8.0644    2.1545   11.8985    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6764    0.4640    0.2124    0.9764    1.5587    3.6232    8.0644    2.1541   11.8990    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6774    0.4640    0.2134    0.9774    1.5591    3.6230    8.0644    2.1537   11.8995    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6783    0.4640    0.2143    0.9783    1.5595    3.6229    8.0644    2.1533   11.9000    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6793    0.4640    0.2153    0.9793    1.5599    3.6227    8.0644    2.1530   11.9006    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6803    0.4640    0.2163    0.9803    1.5603    3.6226    8.0644    2.1526   11.9011    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6813    0.4640    0.2173    0.9813    1.5607    3.6224    8.0644    2.1522   11.9016    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6823    0.4640    0.2183    0.9823    1.5611    3.6222    8.0644    2.1518   11.9021    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6832    0.4640    0.2192    0.9832    1.5615    3.6221    8.0644    2.1514   11.9026    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6842    0.4640    0.2202    0.9842    1.5619    3.6219    8.0644    2.1511   11.9032    4.3434    0.2920    0.9168    0.0400    0.3900    0.0000
    9.8500    0.6852    0.4640    0.2212    0.9852    1.5846    3.6211    8.0746    2.1260   11.9160    4.3294    0.2920    0.7370    0.0400    0.3900    0.0000
    9.8500    0.6862    0.4640    0.2222    0.9862    1.5644    3.6265    8.0874    2.1684   11.8951    4.3054    0.2920    0.5666    0.0400    0.3900    0.0000
    9.8500    0.6872    0.4640    0.2232    0.9872    1.5542    3.6303    8.1019    2.1945   11.8824    4.2904    0.2920    0.4091    0.0400    0.3900    0.0000
    9.8500    0.6881    0.4640    0.2241    0.9881    1.5608    3.6312    8.1237    2.1920   11.8840    4.2984    0.2920    0.2366    0.0400    0.3900    0.0000
    9.8500    0.6891    0.4640    0.2251    0.9891    1.6632    3.6189    8.1785    2.0412   11.9597    4.4091    0.2920    0.0449    0.0400    0.3900    0.0000
    9.8500    0.6901    0.4640    0.2261    0.9901    2.3112    3.5459    8.1213    1.1016   12.4299    5.5383    0.2920    0.0000    0.0400    0.3900    0.0000
