#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    9.8000    0.7391    0.4750    0.2641    1.0391    1.6946    3.6657    8.0677    2.2274   11.8818    4.3162    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7401    0.4750    0.2651    1.0401    1.6949    3.6657    8.0677    2.2274   11.8821    4.3162    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7411    0.4750    0.2661    1.0411    1.6952    3.6656    8.0677    2.2274   11.8824    4.3162    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7421    0.4750    0.2671    1.0421    1.6955    3.6655    8.0677    2.2274   11.8827    4.3162    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7431    0.4750    0.2681    1.0431    1.6958    3.6654    8.0677    2.2274   11.8830    4.3162    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7441    0.4750    0.2691    1.0441    1.6960    3.6654    8.0677    2.2274   11.8833    4.3162    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7450    0.4750    0.2700    1.0450    1.6963    3.6653    8.0677    2.2274   11.8836    4.3162    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7460    0.4750    0.2710    1.0460    1.6966    3.6652    8.0677    2.2274   11.8838    4.3162    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7470    0.4750    0.2720    1.0470    1.6969    3.6652    8.0677    2.2274   11.8841    4.3162    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7480    0.4750    0.2730    1.0480    1.6972    3.6651    8.0677    2.2275   11.8844    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7490    0.4750    0.2740    1.0490    1.6975    3.6650    8.0677    2.2275   11.8847    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7499    0.4750    0.2749    1.0499    1.6978    3.6650    8.0677    2.2275   11.8850    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7509    0.4750    0.2759    1.0509    1.6981    3.6649    8.0677    2.2275   11.8853    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7519    0.4750    0.2769    1.0519    1.6984    3.6648    8.0677    2.2275   11.8856    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7529    0.4750    0.2779    1.0529    1.6986    3.6647    8.0677    2.2275   11.8858    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7539    0.4750    0.2789    1.0539    1.6989    3.6647    8.0677    2.2275   11.8861    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7548    0.4750    0.2798    1.0548    1.6992    3.6646    8.0677    2.2275   11.8864    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7558    0.4750    0.2808    1.0558    1.6995    3.6645    8.0677    2.2275   11.8867    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7568    0.4750    0.2818    1.0568    1.6998    3.6645    8.0677    2.2275   11.8870    4.3163    0.2570    0.9452    0.0060   -0.4700    0.2300
    9.8000    0.7578    0.4750    0.2828    1.0578    1.7209    3.6638    8.0772    2.2044   11.8989    4.2981    0.2570    0.7812    0.0060   -0.4700    0.2300
    9.8000    0.7588    0.4750    0.2838    1.0588    1.7128    3.6680    8.0889    2.2295   11.8865    4.2655    0.2570    0.6296    0.0060   -0.4700    0.2300
    9.8000    0.7597    0.4750    0.2847    1.0597    1.7102    3.6712    8.1024    2.2456   11.8787    4.2427    0.2570    0.4754    0.0060   -0.4700    0.2300
    9.8000    0.7607    0.4750    0.2857    1.0607    1.7154    3.6728    8.1226    2.2474   11.8782    4.2381    0.2570    0.2954    0.0060   -0.4700    0.2300
    9.8000    0.7617    0.4750    0.2867    1.0617    1.7694    3.6667    8.1666    2.1695   11.9174    4.3103    0.2570    0.0851    0.0060   -0.4700    0.2300
