# log(age) Mini Mact logl logt logg Composition Phase
    6.05    9.79800000   9.7980   3.7389   4.4491   4.4630   0.0000   0.0000
    6.05   10.83100000  10.8300   3.8717   4.4686   4.4510   0.0000   0.0000
    6.05   11.97200000  11.9710   4.0051   4.4881   4.4390   0.0000   0.0000
    6.05   13.23400000  13.2320   4.1323   4.5058   4.4260   0.0000   0.0000
    6.05   14.62900000  14.6250   4.2597   4.5235   4.4140   0.0000   0.0000
    6.05   16.17100000  16.1660   4.3825   4.5401   4.4010   0.0000   0.0000
    6.05   17.87600000  17.8700   4.5040   4.5562   4.3880   0.0000   0.0000
    6.05   19.76000000  19.7530   4.6259   4.5722   4.3740   0.0000   0.0000
    6.05   21.84300000  21.8320   4.7412   4.5869   4.3610   0.0000   0.0000
    6.05   24.14500000  24.1280   4.8559   4.6014   4.3480   0.0000   0.0000
    6.05   26.69000000  26.6640   4.9660   4.6149   4.3360   0.0000   0.0000
    6.05   29.50400000  29.4630   5.0737   4.6279   4.3240   0.0000   0.0000
    6.05   32.61400000  32.5540   5.1802   4.6405   4.3120   0.0000   0.0000
    6.05   36.05100000  35.9640   5.2808   4.6516   4.2990   0.0000   0.0000
    6.05   39.85100000  39.7290   5.3815   4.6625   4.2860   0.0000   0.0000
    6.05   44.05200000  43.8820   5.4730   4.6713   4.2740   0.0000   0.0000
    6.05   48.69500000  48.4630   5.5641   4.6798   4.2600   0.0000   0.0000
    6.05   53.82800000  53.5160   5.6553   4.6881   4.2460   0.0000   0.0000
    6.05   59.50200000  59.0870   5.7465   4.6960   4.2300   0.0000   0.0000
    6.05   65.77300000  65.2360   5.8288   4.7017   4.2140   0.0000   0.0000
    6.05   72.70600000  72.0130   5.9101   4.7068   4.1970   0.0000   0.0000
    6.05   80.37000000  79.4770   5.9909   4.7115   4.1790   0.0000   0.0000
    6.05   88.84100000  87.7030   6.0693   4.7149   4.1570   0.0000   0.0000
    6.05   98.20600000  96.7740   6.1442   4.7168   4.1340   0.0000   0.0000
    6.05  108.55700000 106.7650   6.2177   4.7184   4.1110   0.0000   0.0000
    6.05  120.00000000 117.7710   6.2893   4.7199   4.0880   0.0000   0.0000
# log(age) Mini Mact logl logt logg Composition Phase
    6.10    0.80000000   0.8000  -0.3001   3.7663   4.6600   0.0000   0.0000
    6.10    0.88400000   0.8840  -0.0959   3.7920   4.6010   0.0000   0.0000
    6.10    0.97800000   0.9780   0.1068   3.8152   4.5350   0.0000   0.0000
    6.10    1.08100000   1.0810   0.3067   3.8411   4.4820   0.0000   0.0000
    6.10    1.19400000   1.1940   0.4791   3.8706   4.4720   0.0000   0.0000
    6.10    1.32000000   1.3200   0.6590   3.9080   4.4850   0.0000   0.0000
    6.10    1.46000000   1.4600   0.8443   3.9498   4.5100   0.0000   0.0000
    6.10    1.61300000   1.6130   1.0233   3.9863   4.5300   0.0000   0.0000
    6.10    1.78300000   1.7830   1.1967   4.0216   4.5620   0.0000   0.0000
    6.10    1.97100000   1.9710   1.3659   4.0573   4.5790   0.0000   0.0000
    6.10    2.17900000   2.1790   1.5305   4.0892   4.5850   0.0000   0.0000
    6.10    2.40900000   2.4090   1.6942   4.1205   4.5890   0.0000   0.0000
    6.10    2.66300000   2.6630   1.8543   4.1493   4.5870   0.0000   0.0000
    6.10    2.94400000   2.9440   2.0123   4.1767   4.5820   0.0000   0.0000
    6.10    3.25400000   3.2540   2.1662   4.2023   4.5730   0.0000   0.0000
    6.10    3.59700000   3.5970   2.3191   4.2275   4.5650   0.0000   0.0000
    6.10    3.97600000   3.9760   2.4721   4.2527   4.5560   0.0000   0.0000
    6.10    4.39500000   4.3950   2.6191   4.2761   4.5450   0.0000   0.0000
    6.10    4.85800000   4.8580   2.7657   4.2993   4.5350   0.0000   0.0000
    6.10    5.37000000   5.3700   2.9084   4.3218   4.5250   0.0000   0.0000
    6.10    5.93600000   5.9360   3.0496   4.3441   4.5170   0.0000   0.0000
    6.10    6.56200000   6.5620   3.1909   4.3663   4.5080   0.0000   0.0000
    6.10    7.25400000   7.2540   3.3312   4.3880   4.4970   0.0000   0.0000
    6.10    8.01800000   8.0180   3.4690   4.4086   4.4840   0.0000   0.0000
    6.10    8.86400000   8.8640   3.6069   4.4293   4.4720   0.0000   0.0000
    6.10    9.79800000   9.7980   3.7401   4.4490   4.4610   0.0000   0.0000
    6.10   10.83100000  10.8300   3.8734   4.4685   4.4490   0.0000   0.0000
    6.10   11.97200000  11.9710   4.0070   4.4879   4.4370   0.0000   0.0000
    6.10   13.23400000  13.2320   4.1346   4.5057   4.4240   0.0000   0.0000
    6.10   14.62900000  14.6240   4.2625   4.5234   4.4100   0.0000   0.0000
    6.10   16.17100000  16.1650   4.3856   4.5399   4.3970   0.0000   0.0000
    6.10   17.87600000  17.8690   4.5076   4.5560   4.3830   0.0000   0.0000
    6.10   19.76000000  19.7520   4.6302   4.5719   4.3680   0.0000   0.0000
    6.10   21.84300000  21.8300   4.7460   4.5866   4.3550   0.0000   0.0000
    6.10   24.14500000  24.1260   4.8613   4.6010   4.3410   0.0000   0.0000
    6.10   26.69000000  26.6600   4.9719   4.6145   4.3280   0.0000   0.0000
    6.10   29.50400000  29.4580   5.0802   4.6273   4.3160   0.0000   0.0000
    6.10   32.61400000  32.5460   5.1873   4.6397   4.3020   0.0000   0.0000
    6.10   36.05100000  35.9520   5.2883   4.6507   4.2880   0.0000   0.0000
    6.10   39.85100000  39.7120   5.3895   4.6614   4.2740   0.0000   0.0000
    6.10   44.05200000  43.8570   5.4813   4.6700   4.2600   0.0000   0.0000
    6.10   48.69500000  48.4290   5.5728   4.6782   4.2450   0.0000   0.0000
    6.10   53.82800000  53.4700   5.6643   4.6860   4.2290   0.0000   0.0000
    6.10   59.50200000  59.0240   5.7560   4.6936   4.2110   0.0000   0.0000
    6.10   65.77300000  65.1540   5.8387   4.6988   4.1930   0.0000   0.0000
    6.10   72.70600000  71.9050   5.9202   4.7034   4.1740   0.0000   0.0000
    6.10   80.37000000  79.3350   6.0013   4.7075   4.1530   0.0000   0.0000
    6.10   88.84100000  87.5170   6.0800   4.7101   4.1290   0.0000   0.0000
    6.10   98.20600000  96.5340   6.1554   4.7110   4.1000   0.0000   0.0000
    6.10  108.55700000 106.4570   6.2293   4.7114   4.0720   0.0000   0.0000
    6.10  120.00000000 117.3810   6.3010   4.7123   4.0470   0.0000   0.0000
# log(age) Mini Mact logl logt logg Composition Phase
    6.15    0.80000000   0.8000  -0.3001   3.7663   4.6590   0.0000   0.0000
    6.15    0.88400000   0.8840  -0.0959   3.7920   4.6010   0.0000   0.0000
    6.15    0.97800000   0.9780   0.1068   3.8152   4.5350   0.0000   0.0000
    6.15    1.08100000   1.0810   0.3067   3.8411   4.4820   0.0000   0.0000
    6.15    1.19400000   1.1940   0.4791   3.8706   4.4720   0.0000   0.0000
    6.15    1.32000000   1.3200   0.6590   3.9080   4.4850   0.0000   0.0000
    6.15    1.46000000   1.4600   0.8444   3.9498   4.5100   0.0000   0.0000
    6.15    1.61300000   1.6130   1.0233   3.9864   4.5300   0.0000   0.0000
    6.15    1.78300000   1.7830   1.1967   4.0216   4.5620   0.0000   0.0000
    6.15    1.97100000   1.9710   1.3659   4.0573   4.5790   0.0000   0.0000
    6.15    2.17900000   2.1790   1.5305   4.0892   4.5850   0.0000   0.0000
    6.15    2.40900000   2.4090   1.6942   4.1205   4.5890   0.0000   0.0000
    6.15    2.66300000   2.6630   1.8543   4.1493   4.5870   0.0000   0.0000
    6.15    2.94400000   2.9440   2.0123   4.1767   4.5820   0.0000   0.0000
    6.15    3.25400000   3.2540   2.1662   4.2023   4.5730   0.0000   0.0000
    6.15    3.59700000   3.5970   2.3192   4.2275   4.5640   0.0000   0.0000
    6.15    3.97600000   3.9760   2.4722   4.2527   4.5550   0.0000   0.0000
    6.15    4.39500000   4.3950   2.6191   4.2761   4.5450   0.0000   0.0000
    6.15    4.85800000   4.8580   2.7657   4.2993   4.5350   0.0000   0.0000
    6.15    5.37000000   5.3700   2.9084   4.3218   4.5250   0.0000   0.0000
    6.15    5.93600000   5.9360   3.0497   4.3441   4.5160   0.0000   0.0000
    6.15    6.56200000   6.5620   3.1910   4.3663   4.5070   0.0000   0.0000
    6.15    7.25400000   7.2540   3.3322   4.3879   4.4950   0.0000   0.0000
    6.15    8.01800000   8.0180   3.4700   4.4085   4.4830   0.0000   0.0000
    6.15    8.86400000   8.8640   3.6079   4.4292   4.4710   0.0000   0.0000
    6.15    9.79800000   9.7980   3.7418   4.4489   4.4590   0.0000   0.0000
    6.15   10.83100000  10.8300   3.8752   4.4683   4.4460   0.0000   0.0000
    6.15   11.97200000  11.9710   4.0093   4.4878   4.4340   0.0000   0.0000
    6.15   13.23400000  13.2310   4.1372   4.5055   4.4200   0.0000   0.0000
    6.15   14.62900000  14.6240   4.2655   4.5232   4.4070   0.0000   0.0000
    6.15   16.17100000  16.1640   4.3893   4.5397   4.3920   0.0000   0.0000
    6.15   17.87600000  17.8680   4.5118   4.5557   4.3780   0.0000   0.0000
    6.15   19.76000000  19.7510   4.6351   4.5716   4.3620   0.0000   0.0000
    6.15   21.84300000  21.8290   4.7515   4.5862   4.3480   0.0000   0.0000
    6.15   24.14500000  24.1230   4.8673   4.6006   4.3340   0.0000   0.0000
    6.15   26.69000000  26.6560   4.9787   4.6139   4.3200   0.0000   0.0000
    6.15   29.50400000  29.4510   5.0876   4.6266   4.3060   0.0000   0.0000
    6.15   32.61400000  32.5360   5.1953   4.6389   4.2910   0.0000   0.0000
    6.15   36.05100000  35.9380   5.2968   4.6496   4.2760   0.0000   0.0000
    6.15   39.85100000  39.6910   5.3986   4.6601   4.2600   0.0000   0.0000
    6.15   44.05200000  43.8280   5.4909   4.6683   4.2450   0.0000   0.0000
    6.15   48.69500000  48.3890   5.5828   4.6761   4.2280   0.0000   0.0000
    6.15   53.82800000  53.4140   5.6748   4.6836   4.2090   0.0000   0.0000
    6.15   59.50200000  58.9490   5.7669   4.6906   4.1890   0.0000   0.0000
    6.15   65.77300000  65.0540   5.8500   4.6952   4.1680   0.0000   0.0000
    6.15   72.70600000  71.7740   5.9319   4.6991   4.1450   0.0000   0.0000
    6.15   80.37000000  79.1620   6.0134   4.7024   4.1210   0.0000   0.0000
    6.15   88.84100000  87.2900   6.0926   4.7037   4.0910   0.0000   0.0000
    6.15   98.20600000  96.2380   6.1686   4.7033   4.0570   0.0000   0.0000
    6.15  108.55700000 106.0740   6.2431   4.7032   4.0250   0.0000   0.0000
    6.15  120.00000000 116.8940   6.3149   4.7023   3.9950   0.0000   0.0000
# log(age) Mini Mact logl logt logg Composition Phase
    6.20    0.80000000   0.8000  -0.3001   3.7663   4.6590   0.0000   0.0000
    6.20    0.88400000   0.8840  -0.0959   3.7920   4.6010   0.0000   0.0000
    6.20    0.97800000   0.9780   0.1068   3.8152   4.5350   0.0000   0.0000
    6.20    1.08100000   1.0810   0.3068   3.8411   4.4820   0.0000   0.0000
    6.20    1.19400000   1.1940   0.4791   3.8706   4.4720   0.0000   0.0000
    6.20    1.32000000   1.3200   0.6591   3.9081   4.4850   0.0000   0.0000
    6.20    1.46000000   1.4600   0.8444   3.9498   4.5100   0.0000   0.0000
    6.20    1.61300000   1.6130   1.0233   3.9864   4.5300   0.0000   0.0000
    6.20    1.78300000   1.7830   1.1967   4.0216   4.5620   0.0000   0.0000
    6.20    1.97100000   1.9710   1.3659   4.0573   4.5790   0.0000   0.0000
    6.20    2.17900000   2.1790   1.5305   4.0892   4.5840   0.0000   0.0000
    6.20    2.40900000   2.4090   1.6942   4.1205   4.5880   0.0000   0.0000
    6.20    2.66300000   2.6630   1.8543   4.1493   4.5870   0.0000   0.0000
    6.20    2.94400000   2.9440   2.0123   4.1767   4.5820   0.0000   0.0000
    6.20    3.25400000   3.2540   2.1662   4.2023   4.5730   0.0000   0.0000
    6.20    3.59700000   3.5970   2.3192   4.2275   4.5640   0.0000   0.0000
    6.20    3.97600000   3.9760   2.4722   4.2527   4.5550   0.0000   0.0000
    6.20    4.39500000   4.3950   2.6191   4.2761   4.5450   0.0000   0.0000
    6.20    4.85800000   4.8580   2.7657   4.2993   4.5350   0.0000   0.0000
    6.20    5.37000000   5.3700   2.9085   4.3218   4.5250   0.0000   0.0000
    6.20    5.93600000   5.9360   3.0497   4.3441   4.5160   0.0000   0.0000
    6.20    6.56200000   6.5620   3.1920   4.3662   4.5050   0.0000   0.0000
    6.20    7.25400000   7.2540   3.3332   4.3878   4.4930   0.0000   0.0000
    6.20    8.01800000   8.0180   3.4710   4.4084   4.4810   0.0000   0.0000
    6.20    8.86400000   8.8640   3.6094   4.4291   4.4680   0.0000   0.0000
    6.20    9.79800000   9.7980   3.7435   4.4487   4.4560   0.0000   0.0000
    6.20   10.83100000  10.8300   3.8773   4.4682   4.4440   0.0000   0.0000
    6.20   11.97200000  11.9710   4.0117   4.4876   4.4310   0.0000   0.0000
    6.20   13.23400000  13.2310   4.1402   4.5054   4.4170   0.0000   0.0000
    6.20   14.62900000  14.6230   4.2692   4.5230   4.4020   0.0000   0.0000
    6.20   16.17100000  16.1640   4.3934   4.5395   4.3870   0.0000   0.0000
    6.20   17.87600000  17.8670   4.5166   4.5554   4.3720   0.0000   0.0000
    6.20   19.76000000  19.7500   4.6406   4.5713   4.3560   0.0000   0.0000
    6.20   21.84300000  21.8270   4.7576   4.5858   4.3410   0.0000   0.0000
    6.20   24.14500000  24.1200   4.8743   4.6001   4.3250   0.0000   0.0000
    6.20   26.69000000  26.6510   4.9864   4.6132   4.3100   0.0000   0.0000
    6.20   29.50400000  29.4440   5.0960   4.6258   4.2940   0.0000   0.0000
    6.20   32.61400000  32.5250   5.2044   4.6378   4.2780   0.0000   0.0000
    6.20   36.05100000  35.9210   5.3066   4.6483   4.2610   0.0000   0.0000
    6.20   39.85100000  39.6670   5.4091   4.6584   4.2430   0.0000   0.0000
    6.20   44.05200000  43.7940   5.5018   4.6663   4.2260   0.0000   0.0000
    6.20   48.69500000  48.3410   5.5943   4.6736   4.2060   0.0000   0.0000
    6.20   53.82800000  53.3480   5.6869   4.6805   4.1850   0.0000   0.0000
    6.20   59.50200000  58.8590   5.7795   4.6868   4.1620   0.0000   0.0000
    6.20   65.77300000  64.9340   5.8631   4.6907   4.1380   0.0000   0.0000
    6.20   72.70600000  71.6140   5.9455   4.6936   4.1110   0.0000   0.0000
    6.20   80.37000000  78.9490   6.0275   4.6956   4.0800   0.0000   0.0000
    6.20   88.84100000  87.0080   6.1074   4.6956   4.0440   0.0000   0.0000
    6.20   98.20600000  95.8670   6.1844   4.6939   4.0050   0.0000   0.0000
    6.20  108.55700000 105.5890   6.2595   4.6921   3.9660   0.0000   0.0000
    6.20  120.00000000 116.2760   6.3317   4.6923   3.9360   0.0000   0.0000
# log(age) Mini Mact logl logt logg Composition Phase
    6.25    0.80000000   0.8000  -0.3001   3.7663   4.6590   0.0000   0.0000
    6.25    0.88400000   0.8840  -0.0959   3.7920   4.6010   0.0000   0.0000
    6.25    0.97800000   0.9780   0.1068   3.8152   4.5350   0.0000   0.0000
    6.25    1.08100000   1.0810   0.3068   3.8411   4.4820   0.0000   0.0000
    6.25    1.19400000   1.1940   0.4791   3.8706   4.4720   0.0000   0.0000
    6.25    1.32000000   1.3200   0.6591   3.9081   4.4850   0.0000   0.0000
    6.25    1.46000000   1.4600   0.8444   3.9498   4.5100   0.0000   0.0000
    6.25    1.61300000   1.6130   1.0234   3.9864   4.5300   0.0000   0.0000
    6.25    1.78300000   1.7830   1.1968   4.0216   4.5620   0.0000   0.0000
    6.25    1.97100000   1.9710   1.3659   4.0572   4.5790   0.0000   0.0000
    6.25    2.17900000   2.1790   1.5304   4.0892   4.5840   0.0000   0.0000
    6.25    2.40900000   2.4090   1.6942   4.1205   4.5880   0.0000   0.0000
    6.25    2.66300000   2.6630   1.8543   4.1493   4.5870   0.0000   0.0000
    6.25    2.94400000   2.9440   2.0123   4.1767   4.5810   0.0000   0.0000
    6.25    3.25400000   3.2540   2.1662   4.2023   4.5730   0.0000   0.0000
    6.25    3.59700000   3.5970   2.3192   4.2275   4.5640   0.0000   0.0000
    6.25    3.97600000   3.9760   2.4722   4.2527   4.5550   0.0000   0.0000
    6.25    4.39500000   4.3950   2.6192   4.2761   4.5450   0.0000   0.0000
    6.25    4.85800000   4.8580   2.7657   4.2993   4.5350   0.0000   0.0000
    6.25    5.37000000   5.3700   2.9085   4.3218   4.5250   0.0000   0.0000
