# log(age) Mini Mact logl logt logg Composition Phase
    6.00    0.80000000   0.8000  -0.6632   3.6692   4.6340   0.0000   0.0000
    6.00    0.90100000   0.9010  -0.4221   3.7067   4.5940   0.0000   0.0000
    6.00    1.01400000   1.0140  -0.1770   3.7413   4.5390   0.0000   0.0000
    6.00    1.14200000   1.1420   0.0612   3.7706   4.4700   0.0000   0.0000
    6.00    1.28500000   1.2850   0.2847   3.7949   4.3950   0.0000   0.0000
    6.00    1.44700000   1.4470   0.5289   3.8247   4.3210   0.0000   0.0000
    6.00    1.62900000   1.6290   0.7636   3.8597   4.2920   0.0000   0.0000
    6.00    1.83400000   1.8340   0.9872   3.9026   4.3110   0.0000   0.0000
    6.00    2.06500000   2.0650   1.2030   3.9473   4.3260   0.0000   0.0000
    6.00    2.32500000   2.3250   1.4116   3.9881   4.3310   0.0000   0.0000
    6.00    2.61800000   2.6180   1.6177   4.0275   4.3320   0.0000   0.0000
    6.00    2.94700000   2.9470   1.8197   4.0644   4.3290   0.0000   0.0000
    6.00    3.31800000   3.3180   2.0163   4.0994   4.3230   0.0000   0.0000
    6.00    3.73500000   3.7350   2.2121   4.1340   4.3170   0.0000   0.0000
    6.00    4.20600000   4.2060   2.4050   4.1681   4.3120   0.0000   0.0000
    6.00    4.73500000   4.7350   2.5941   4.2015   4.3070   0.0000   0.0000
    6.00    5.33100000   5.3310   2.7796   4.2338   4.3020   0.0000   0.0000
    6.00    6.00200000   6.0020   2.9619   4.2650   4.2950   0.0000   0.0000
    6.00    6.75700000   6.7570   3.1443   4.2963   4.2890   0.0000   0.0000
    6.00    7.60700000   7.6070   3.3206   4.3261   4.2830   0.0000   0.0000
    6.00    8.56500000   8.5640   3.4955   4.3548   4.2730   0.0000   0.0000
    6.00    9.64200000   9.6420   3.6658   4.3823   4.2630   0.0000   0.0000
    6.00   10.85600000  10.8550   3.8324   4.4090   4.2540   0.0000   0.0000
    6.00   12.22200000  12.2190   3.9986   4.4350   4.2420   0.0000   0.0000
    6.00   13.76000000  13.7530   4.1568   4.4588   4.2300   0.0000   0.0000
    6.00   15.49200000  15.4790   4.3126   4.4818   4.2180   0.0000   0.0000
    6.00   17.44200000  17.4200   4.4613   4.5028   4.2050   0.0000   0.0000
    6.00   19.63700000  19.6030   4.6106   4.5237   4.1910   0.0000   0.0000
    6.00   22.10800000  22.0440   4.7503   4.5422   4.1760   0.0000   0.0000
    6.00   24.89000000  24.7790   4.8884   4.5602   4.1610   0.0000   0.0000
    6.00   28.02300000  27.8260   5.0162   4.5754   4.1450   0.0000   0.0000
    6.00   31.54900000  31.2290   5.1438   4.5904   4.1260   0.0000   0.0000
    6.00   35.52000000  35.0020   5.2631   4.6035   4.1080   0.0000   0.0000
    6.00   39.99000000  39.1920   5.3811   4.6158   4.0870   0.0000   0.0000
    6.00   45.02300000  43.8120   5.4863   4.6260   4.0700   0.0000   0.0000
    6.00   50.68900000  48.9150   5.5910   4.6362   4.0520   0.0000   0.0000
    6.00   57.06800000  54.5330   5.6953   4.6467   4.0350   0.0000   0.0000
    6.00   64.25000000  60.7040   5.7925   4.6565   4.0220   0.0000   0.0000
    6.00   72.33600000  67.4890   5.8842   4.6658   4.0100   0.0000   0.0000
    6.00   81.43900000  74.9280   5.9754   4.6758   4.0010   0.0000   0.0000
    6.00   91.68900000  83.0930   6.0612   4.6853   3.9960   0.0000   0.0000
    6.00  103.22800000  92.0320   6.1435   4.6944   3.9930   0.0000   0.0000
    6.00  116.21900000 101.7630   6.2249   4.7036   3.9910   0.0000   0.0000
